member_casual,year,month_num,month,ride_count
casual,2015,1,January,3316
member,2015,1,January,55957
casual,2015,2,February,997
member,2015,2,February,34131
casual,2015,3,March,20178
member,2015,3,March,87746
casual,2015,4,April,42362
member,2015,4,April,133861
casual,2015,5,May,106328
member,2015,5,May,195476
casual,2015,6,June,152655
member,2015,6,June,263181
casual,2015,7,July,218081
member,2015,7,July,315613
casual,2015,8,August,166076
member,2015,8,August,328925
casual,2015,9,September,127537
member,2015,9,September,299534
casual,2015,10,October,59757
member,2015,10,October,256742
casual,2015,11,November,25163
member,2015,11,November,168621
casual,2015,12,December,7433
member,2015,12,December,113626
casual,2016,1,January,3466
member,2016,1,January,89373
casual,2016,2,February,11275
member,2016,2,February,106845
casual,2016,3,March,27271
member,2016,3,March,158682
casual,2016,4,April,49392
member,2016,4,April,182243
casual,2016,5,May,103511
member,2016,5,May,259808
casual,2016,6,June,127909
member,2016,6,June,349964
casual,2016,7,July,173706
member,2016,7,July,344338
casual,2016,8,August,135784
member,2016,8,August,348714
casual,2016,9,September,116857
member,2016,9,September,322328
casual,2016,10,October,72028
member,2016,10,October,278159
casual,2016,11,November,33677
member,2016,11,November,206725
casual,2016,12,December,3581
member,2016,12,December,89648
casual,2017,1,January,5315
member,2017,1,January,106626
casual,2017,2,February,23585
member,2017,2,February,142756
casual,2017,3,March,12495
member,2017,3,March,140910
casual,2017,4,April,61255
member,2017,4,April,207407
casual,2017,5,May,82322
member,2017,5,May,263666
casual,2017,6,June,132190
member,2017,6,June,372974
casual,2017,7,July,179379
member,2017,7,July,385763
casual,2017,8,August,146053
member,2017,8,August,411583
casual,2017,9,September,116191
member,2017,9,September,369298
casual,2017,10,October,58809
member,2017,10,October,295295
casual,2017,11,November,12699
member,2017,11,November,177029
casual,2017,12,December,6575
member,2017,12,December,118821
casual,2018,1,January,3476
member,2018,1,January,106202
casual,2018,2,February,3396
member,2018,2,February,99517
casual,2018,3,March,15511
member,2018,3,March,158918
casual,2018,4,April,21794
member,2018,4,April,178228
casual,2018,5,May,89427
member,2018,5,May,311573
casual,2018,6,June,107991
member,2018,6,June,350196
casual,2018,7,July,150091
member,2018,7,July,394369
casual,2018,8,August,128633
member,2018,8,August,401906
casual,2018,9,September,93796
member,2018,9,September,344142
casual,2018,10,October,43685
member,2018,10,October,301119
casual,2018,11,November,10973
member,2018,11,November,157710
casual,2018,12,December,7464
member,2018,12,December,121449
casual,2019,1,January,4591
member,2019,1,January,98601
casual,2019,2,February,2627
member,2019,2,February,93522
casual,2019,3,March,15877
member,2019,3,March,149659
casual,2019,4,April,47669
member,2019,4,April,217531
casual,2019,5,May,81507
member,2019,5,May,285793
casual,2019,6,June,130066
member,2019,6,June,345135
casual,2019,7,July,175433
member,2019,7,July,381615
casual,2019,8,August,186625
member,2019,8,August,403241
casual,2019,9,September,128987
member,2019,9,September,364004
casual,2019,10,October,70889
member,2019,10,October,300717
casual,2019,11,November,18647
member,2019,11,November,158394
casual,2019,12,December,16365
member,2019,12,December,138647
casual,2020,1,January,7678
member,2020,1,January,134875
casual,2020,2,February,12206
member,2020,2,February,125393
casual,2020,3,March,24418
member,2020,3,March,114356
casual,2020,4,April,23363
member,2020,4,April,60272
casual,2020,5,May,86038
member,2020,5,May,111593
casual,2020,6,June,152984
member,2020,6,June,185227
casual,2020,7,July,266024
member,2020,7,July,276610
casual,2020,8,August,283919
member,2020,8,August,325026
casual,2020,9,September,226563
member,2020,9,September,295452
casual,2020,11,November,86639
member,2020,11,November,168412
casual,2020,12,December,29624
member,2020,12,December,99820
casual,2021,1,January,17815
member,2021,1,January,77563
casual,2021,2,February,9906
member,2021,2,February,38626
casual,2021,3,March,82996
member,2021,3,March,142365
casual,2021,4,April,134714
member,2021,4,April,197453
casual,2021,5,May,252938
member,2021,5,May,269863
casual,2021,6,June,364422
member,2021,6,June,352612
casual,2021,7,July,435362
member,2021,7,July,373787
casual,2021,8,August,407063
member,2021,8,August,385365
casual,2021,9,September,358868
member,2021,9,September,385902
casual,2021,10,October,253440
member,2021,10,October,367394
casual,2021,11,November,105224
member,2021,11,November,248663
casual,2021,12,December,68617
member,2021,12,December,174856
casual,2022,1,January,18087
member,2022,1,January,83744
casual,2022,2,February,20917
member,2022,2,February,92046
casual,2022,3,March,88116
member,2022,3,March,190566
casual,2022,4,April,123803
member,2022,4,April,239827
casual,2022,5,May,274539
member,2022,5,May,347243
casual,2022,6,June,361048
member,2022,6,June,391795
casual,2022,7,July,396872
member,2022,7,July,407943
casual,2022,8,August,350519
member,2022,8,August,417117
casual,2022,9,September,289853
member,2022,9,September,395329
casual,2022,10,October,203883
member,2022,10,October,341270
casual,2022,11,November,98211
member,2022,11,November,231631
casual,2022,12,December,43650
member,2022,12,December,133259
casual,2023,1,January,38749
member,2023,1,January,145246
casual,2023,2,February,41734
member,2023,2,February,142601
casual,2023,3,March,60152
member,2023,3,March,189289
casual,2023,4,April,142226
member,2023,4,April,269042
casual,2023,5,May,226892
member,2023,5,May,359461
casual,2023,9,September,255051
member,2023,9,September,396144
casual,2023,10,October,172492
member,2023,10,October,352316
casual,2023,11,November,96007
member,2023,11,November,258750
casual,2023,12,December,50403
member,2023,12,December,168644
casual,2024,1,January,23647
member,2024,1,January,116561
casual,2024,2,February,46019
member,2024,2,February,172796
casual,2024,3,March,80317
member,2024,3,March,214367
casual,2024,4,April,127599
member,2024,4,April,276714
casual,2024,5,May,93
member,2024,5,May,75
casual,2024,6,June,289964
member,2024,6,June,402039
casual,2024,7,July,309403
member,2024,7,July,421852
casual,2024,8,August,274
member,2024,8,August,113
casual,2024,9,September,334250
member,2024,9,September,465623
casual,2024,11,November,3
member,2024,11,November,5
casual,2024,12,December,37324
member,2024,12,December,137558
casual,2025,2,February,7
member,2025,2,February,20
casual,2025,3,March,82874
member,2025,3,March,208469
casual,2025,4,April,105272
member,2025,4,April,257932
casual,2025,5,May,175668
member,2025,5,May,314018
casual,2025,6,June,278733
member,2025,6,June,379544
casual,2025,7,July,308487
member,2025,7,July,430431
casual,2025,8,August,323566
member,2025,8,August,443169
casual,2025,9,September,254754
member,2025,9,September,440990
casual,2025,10,October,214407
member,2025,10,October,414135
casual,2025,11,November,94729
member,2025,11,November,251941
casual,2025,12,December,27094
member,2025,12,December,109381
casual,2026,1,January,23880
member,2026,1,January,109878
casual,2026,2,February,40077
member,2026,2,February,157254
casual,2026,3,March,84824
member,2026,3,March,223689
casual,2026,4,April,127035
member,2026,4,April,308485
