member_casual,hour,ride_count
casual,0,232740
casual,1,154279
casual,2,97287
casual,3,54447
casual,4,39476
casual,5,62891
casual,6,145814
casual,7,273590
casual,8,400383
casual,9,473041
casual,10,657660
casual,11,871939
casual,12,1029051
casual,13,1098374
casual,14,1149915
casual,15,1223382
casual,16,1306176
casual,17,1370847
casual,18,1172195
casual,19,882255
casual,20,632974
casual,21,511592
casual,22,447496
casual,23,327249
member,0,236986
member,1,143268
member,2,83612
member,3,53105
member,4,68317
member,5,298064
member,6,939058
member,7,1926884
member,8,2401591
member,9,1391115
member,10,1170140
member,11,1404312
member,12,1617273
member,13,1583777
member,14,1559253
member,15,1906393
member,16,2825914
member,17,3567003
member,18,2586549
member,19,1755402
member,20,1171332
member,21,864972
member,22,622173
member,23,389850
