member_casual,start_station_name,ride_count
casual,Streeter Dr & Grand Ave,471688
casual,Millennium Park,234882
casual,Lake Shore Dr & Monroe St,226016
casual,Michigan Ave & Oak St,225321
casual,Shedd Aquarium,198199
casual,Theater on the Lake,192962
casual,Lake Shore Dr & North Blvd,143611
casual,Dusable Harbor,139049
casual,Adler Planetarium,123548
casual,DuSable Lake Shore Dr & Monroe St,116266
casual,Indiana Ave & Roosevelt Rd,111029
casual,Michigan Ave & Washington St,102066
casual,Montrose Harbor,94610
casual,Clark St & Armitage Ave,93772
casual,Clark St & Lincoln Ave,93125
member,Clinton St & Washington Blvd,328766
member,Canal St & Adams St,305288
member,Clinton St & Madison St,302700
member,Kingsbury St & Kinzie St,267587
member,Canal St & Madison St,225079
member,Clark St & Elm St,212427
member,Columbus Dr & Randolph St,197276
member,Daley Center Plaza,192700
member,Franklin St & Monroe St,188348
member,Wells St & Concord Ln,185846
member,Dearborn St & Erie St,183003
member,Michigan Ave & Washington St,177270
member,Clinton St & Lake St,171377
member,Desplaines St & Kinzie St,170208
member,Orleans St & Merchandise Mart Plaza,168198
