member_casual,year,ride_count,avg_duration_min
casual,2015,929883,29.18
member,2015,2253413,12.07
casual,2016,858457,30.95
member,2016,2736827,12.03
casual,2017,836868,30.93
member,2017,2992128,11.73
casual,2018,676237,42.42
member,2018,2925329,12.64
casual,2019,879283,39.43
member,2019,2936859,12.93
casual,2020,1199456,38.66
member,2020,1897036,15.51
casual,2021,2491365,27.23
member,2021,3014449,13.62
casual,2022,2269498,22.3
member,2022,3271770,12.66
casual,2023,1083706,19.92
member,2023,2281493,11.79
casual,2024,1248893,21.46
member,2024,2207703,12.4
casual,2025,1865591,20.11
member,2025,3250030,12.34
casual,2026,275816,16.07
member,2026,799306,11.34
